97881,2026-07-28T18:56:40Z,US,7,284.67
77524,2026-07-28T18:56:41Z,DE,8,553.57
76154,2026-07-28T18:56:42Z,DE,2,253.58
92551,2026-07-28T18:56:48Z,FR,8,563.83
37049,2026-07-28T18:56:50Z,GB,5,55.15
54730,2026-07-28T18:56:51Z,BR,6,194.10
81683,2026-07-28T18:56:54Z,GB,5,175.83
31971,2026-07-28T18:56:57Z,FR,4,425.45
88971,2026-07-28T18:57:03Z,FR,two,N/A
54097,2026-07-28T18:57:04Z,ES,7,369.30
80037,2026-07-28T18:57:07Z,FR,6,509.26
88433,2026-07-28T18:57:09Z,FR,8,91.70
53344,2026-07-28T18:57:10Z,US,4,445.11
45886,2026-07-28T18:57:11Z,IT,5,278.58
87539,2026-07-28T18:57:12Z,JP,1,53.62
23206,2026-07-28T18:57:13Z,ES,2,223.85
16849,2026-07-28T18:57:15Z,FR,7,120.24
73638,2026-07-28T18:57:17Z,ES,1,177.02
14285,2026-07-28T18:57:21Z,ES,6,504.13
55680,2026-07-28T18:57:23Z,JP,3,455.66
53689,2026-07-28T18:57:23Z,DE,1,440.95
74260,2026-07-28T18:57:26Z,BR,7,260.20
49587,2026-07-28T18:57:27Z,BR,8,354.15
86338,2026-07-28T18:57:27Z,GB,4,445.11
52110,2026-07-28T18:57:32Z,GB,2,240.69
47938,2026-07-28T18:57:35Z,ES,3,86.01
94513,2026-07-28T18:57:35Z,FR,8,486.54
66419,2026-07-28T18:57:38Z,BR,5,590.20
40948,2026-07-28T18:57:38Z,IT,7,100.09
92954,2026-07-28T18:57:39Z,JP,3,330.57
42009,2026-07-28T18:57:40Z,GB,8,63.22
96131,2026-07-28T18:57:47Z,IT,3,70.12
17161,2026-07-28T18:57:47Z,JP,4,391.65
51271,2026-07-28T18:57:50Z,FR,8,546.60
73660,2026-07-28T18:57:52Z,US,7,165.44
19867,2026-07-28T18:57:53Z,US,3,192.41
29612,2026-07-28T18:57:58Z,GB,3,121.83
28276,2026-07-28T18:58:00Z,ES,2,425.03
77987,2026-07-28T18:58:01Z,JP,3,546.76
25937,2026-07-28T18:58:02Z,FR,3,448.93
25758,2026-07-28T18:58:03Z,IT,4,595.19
36339,2026-07-28T18:58:03Z,FR,5,230.98
23951,2026-07-28T18:58:04Z,BR,5,285.14
42936,2026-07-28T18:58:05Z,JP,7,137.40
35620,2026-07-28T18:58:06Z,IT,5,195.41
90310,2026-07-28T18:58:06Z,JP,3,597.74
74037,2026-07-28T18:58:11Z,IT,6,76.90
68283,2026-07-28T18:58:12Z,IT,7,209.46
26612,2026-07-28T18:58:14Z,BR,8,89.94
22527,2026-07-28T18:58:15Z,IT,6,20.99
11727,2026-07-28T18:58:16Z,FR
10992,2026-07-28T18:58:17Z,ES,5,85.38
17622,2026-07-28T18:58:17Z,IT,4,300.80
35202,2026-07-28T18:58:22Z,FR,4,398.63
